sentiment_bucket,trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_size_usd
Fear,44259,4087700.016199,92.35861669262749,4.2,0.7662848234257439,6824.2729462934085
Neutral,21074,1292354.03385,61.32457216712537,2.3094785,0.7089304356078581,4990.2944025813795
Greed,55970,4816951.863577,86.06310279751652,2.63723,0.677112738967304,3859.748154547079
