sentiment,trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_size_usd
Extreme Fear,11207,750698.690354,66.98480327955741,4.356087,0.7067903988578567,5148.047325778532
Fear,33052,3337001.325845,100.96216040920368,4.180210499999999,0.7864577030134334,7392.6337271572065
Neutral,21074,1292354.03385,61.32457216712537,2.3094785,0.7089304356078581,4990.2944025813795
Greed,29991,2102754.243299,70.11284196255544,1.969357,0.644159914641059,4892.980733886832
Extreme Greed,25979,2714197.620278,104.47660111159013,3.462138,0.7151545479040764,2666.9509611609374
